x,y
121,177
116,126
144,36
110,126
102,122
108,123
99,125
93,124
102,119
112,121
109,120
108,114
109,122
121,120
136,120
129,121
125,126
121,126
122,124
122,125
123,124
126,119
108,113
107,118
111,125
126,136
117,134
114,126
114,124
112,121
111,128
111,127
112,127
111,128
112,99
105,127
108,130
106,130
106,132
117,130
107,135
118,130
117,128
118,128
118,128
117,129
117,129
110,129
110,129
110,130
111,130
111,130
112,127
110,129
129,125
140,121
141,124
151,124
155,125
159,128
137,127
149,124
155,125
130,121
154,122
97,125
107,121
106,118
112,118
109,116
113,117
109,123
109,122
110,122
114,120
111,116
