x,y
140,35
149,85
151,41
64,154
57,145
100,126
54,92
93,199
125,175
174,37
57,51
71,192
86,71
97,89
89,143
101,144
97,148
127,172
149,136
128,144
117,143
116,150
117,140
86,117
93,137
109,143
112,152
117,174
119,176
116,172
112,173
124,163
187,178
133,189
98,181
103,153
96,177
94,180
99,178
102,178
139,161
89,180
128,184
133,188
133,152
119,173
139,177
130,179
126,183
119,192
119,180
109,151
84,169
132,187
96,171
47,170
116,171
93,165
97,168
100,168
98,180
92,181
114,166
98,171
99,172
112,165
141,162
135,166
137,170
140,172
140,169
136,164
76,160
124,194
108,161
108,162
119,150
120,153
110,157
129,190
127,187
124,191
123,192
110,149
115,150
102,152
102,153
105,153
101,181
101,185
102,139
111,172
110,153
101,155
106,161
157,170
139,186
159,187
136,145
164,161
95,158
167,157
65,154
122,154
85,146
105,181
104,184
104,181
146,154
66,147
98,147
108,160
87,164
127,174
80,161
99,181
111,183
105,182
96,184
108,181
110,181
110,183
110,182
121,186
114,183
109,183
109,183
110,183
113,183
133,182
109,187
110,186
110,194
125,189
112,190
112,193
112,193
109,147
144,159
127,164
128,165
125,167
109,161
105,166
103,183
104,185
100,154
107,156
91,187
85,195
103,197
118,181
114,189
103,185
87,179
84,189
122,181
121,181
36,117
108,178
106,184
252,124
100,173
269,67
103,172
112,174
97,182
117,196
85,167
127,192
119,175
97,177
114,166
122,156
105,166
110,160
95,175
111,196
87,164
91,166
93,158
85,156
89,178
94,176
88,175
83,180
84,176
153,153
146,163
101,156
108,168
220,189
91,163
94,167
91,169
91,172
144,160
116,150
106,155
97,152
85,163
125,184
127,185
124,182
124,186
120,185
103,179
99,164
83,173
82,178
83,180
125,169
100,167
102,170
99,173
100,171
98,173
97,174
