x,y
185,119
177,122
192,115
176,121
176,131
196,124
193,116
188,119
183,113
185,121
181,114
184,109
197,126
179,111
178,115
183,116
170,130
189,111
196,115
195,116
194,116
195,116
197,118
195,116
181,113
186,118
194,115
203,120
211,127
207,118
202,118
209,112
189,121
191,145
193,143
201,124
195,136
178,141
167,129
174,137
176,128
160,138
155,163
151,137
162,137
165,136
187,129
171,136
182,123
178,123
185,127
183,129
149,138
143,118
153,132
133,123
142,115
124,139
134,126
128,117
145,111
150,110
161,111
121,117
123,117
124,118
123,118
128,113
129,117
127,121
137,116
141,120
145,121
191,122
210,129
176,118
199,123
155,112
173,116
137,130
161,89
178,105
175,105
163,117
141,126
187,128
167,107
158,114
205,127
202,118
202,126
199,121
193,102
180,116
171,115
170,113
164,110
168,123
168,124
168,116
177,120
176,117
175,114
151,114
169,115
166,117
153,128
179,120
171,128
171,127
172,119
168,125
179,120
178,120
180,119
194,110
184,114
174,116
173,116
173,116
174,117
175,116
175,115
182,115
180,102
180,104
201,109
