x,y
178,123
177,108
177,120
181,120
181,121
181,123
183,120
180,126
178,127
177,120
180,124
180,125
180,124
181,122
174,127
179,123
176,121
179,122
175,130
180,123
183,124
183,125
181,122
181,121
180,124
178,123
180,123
180,124
180,124
180,123
180,126
179,129
180,127
179,127
182,126
181,125
179,122
178,123
178,122
176,122
178,129
171,120
171,120
171,121
172,124
171,121
171,122
165,119
172,122
178,124
177,128
166,124
165,124
165,123
165,124
165,125
165,124
165,125
166,124
165,124
153,135
159,127
162,125
168,120
169,121
169,118
169,122
170,123
173,121
172,121
172,121
173,121
173,121
173,121
175,120
174,122
173,122
173,121
174,124
173,122
173,123
172,123
172,124
173,123
175,125
175,125
174,124
174,124
174,123
179,129
173,124
171,120
174,123
174,122
173,122
171,119
175,124
172,123
173,124
174,124
174,125
174,123
175,123
174,124
174,124
174,123
174,123
175,124
176,130
173,121
173,122
171,124
176,124
175,123
174,123
170,126
171,121
173,124
171,124
172,122
164,121
170,120
169,124
170,124
171,126
171,124
170,124
171,124
170,124
171,124
171,124
170,124
170,124
170,124
170,124
168,124
